# NED distances 
#
# name   = galaxy name
# RA,DEC = RA, DEC (J2000) [in degrees]
# mu     = distance modulus (+error) derived from z [in mag]
# D      = mean distance (+error) [in Mpc]
# minD   = min distance in NED [in Mpc]
# maxD   = max distance in NED [in Mpc]
# Vhel   = Heliocentric velocity [in kms]
# A_V    = foreground extinction [in mag] from Schlafly+ '11
#
# Total number of galaxies: 1
#
###########################################################################################################################
#name           |     RA[deg]  |    DEC[deg]  |     mu[mag]  |      mu_err |       D[Mpc]  |       D_err  |    minD[Mpc] |    maxD[Mpc] |    Vhel[kms] |     Vhel_err |    A_V[mag] 
         PGC938 |     3.541542 |   -83.058777 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4593.000000 |    45.000000 |     0.446000
         PGC947 |     3.556100 |   -61.730812 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3770.000000 |    10.000000 |     0.031000
         PGC948 |     3.572516 |     2.255477 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |     0.000000 |          NaN |     0.068000
         PGC952 |     3.593446 |    48.246605 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4774.000000 |    24.000000 |     0.338000
         PGC965 |     2.649949 |    88.334770 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  1983.000000 |     5.000000 |     0.750000
         PGC975 |     3.646994 |    -1.547616 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3974.000000 |    17.000000 |     0.085000
         PGC982 |     3.678542 |   -60.328751 |    34.299999 |          NaN |    72.300003 |          NaN |    72.300003 |    72.300003 |  4568.000000 |    26.000000 |     0.043000
        PGC1001 |     3.761254 |   -43.292076 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  3272.000000 |    45.000000 |     0.019000
        PGC1007 |     3.772375 |    60.613029 |     0.000000 |     0.000000 |          NaN |          NaN |          NaN |          NaN |  4512.000000 |          NaN |     2.580000
        PGC1014 |     3.723333 |   -39.196640 |    26.420000 |     0.340000 |     1.940000 |     0.284000 |     1.300000 |     2.400000 |   129.000000 |     2.000000 |     0.036000
